,Year,Month,UniqueCarrier,ArrDelay,DepDelay,Count
0,1990,1,AA,-1.0,0.0,61681
1,1990,1,AS,3.0,0.0,7834
2,1990,1,CO,0.0,0.0,34446
3,1990,1,DL,4.0,1.0,68755
4,1990,1,EA,2.0,0.0,21226
5,1990,1,HP,4.0,0.0,17594
6,1990,1,NW,-1.0,0.0,39325
7,1990,1,PA (1),-2.0,0.0,7721
8,1990,1,TW,0.0,0.0,23725
9,1990,1,UA,1.0,0.0,48827
10,1990,1,US,3.0,1.0,85340
11,1990,1,WN,0.0,0.0,26226
12,1990,2,AA,2.0,0.0,53811
13,1990,2,AS,5.0,0.0,7002
14,1990,2,CO,5.0,0.0,31601
15,1990,2,DL,5.0,2.0,61793
16,1990,2,EA,2.0,0.0,18613
17,1990,2,HP,5.0,0.0,15618
18,1990,2,NW,-1.0,0.0,35570
19,1990,2,PA (1),-2.0,0.0,6954
20,1990,2,TW,1.0,0.0,21328
21,1990,2,UA,2.0,0.0,44576
22,1990,2,US,3.0,1.0,76886
23,1990,2,WN,1.0,0.0,23174
24,1990,3,AA,2.0,1.0,59616
25,1990,3,AS,0.0,0.0,8033
26,1990,3,CO,5.0,0.0,35753
27,1990,3,DL,5.0,2.0,69091
28,1990,3,EA,0.0,0.0,21147
29,1990,3,HP,3.0,0.0,17810
30,1990,3,NW,-2.0,0.0,39878
31,1990,3,PA (1),-4.0,0.0,7436
32,1990,3,TW,1.0,0.0,23682
33,1990,3,UA,2.0,1.0,50176
34,1990,3,US,2.0,1.0,85792
35,1990,3,WN,2.0,0.0,25906
36,1990,4,AA,1.0,0.0,58448
37,1990,4,AS,1.0,0.0,7684
38,1990,4,CO,3.0,0.0,34708
39,1990,4,DL,4.0,1.0,67377
40,1990,4,EA,-2.0,0.0,20719
41,1990,4,HP,2.0,0.0,17463
42,1990,4,NW,-3.0,-1.0,38753
43,1990,4,PA (1),-3.0,0.0,6712
44,1990,4,TW,0.0,0.0,22855
45,1990,4,UA,2.0,0.0,49137
46,1990,4,US,1.0,0.0,83543
47,1990,4,WN,0.0,0.0,26021
48,1990,5,AA,2.0,0.0,61071
49,1990,5,AS,0.0,0.0,8100
50,1990,5,CO,4.0,0.0,36751
51,1990,5,DL,4.0,1.0,68839
52,1990,5,EA,-3.0,0.0,21130
53,1990,5,HP,1.0,0.0,18308
54,1990,5,NW,-1.0,0.0,39498
55,1990,5,PA (1),-3.0,0.0,6923
56,1990,5,TW,2.0,0.0,22911
57,1990,5,UA,1.0,0.0,51106
58,1990,5,US,1.0,0.0,85031
59,1990,5,WN,0.0,0.0,27703
60,1990,6,AA,1.0,0.0,58806
61,1990,6,AS,4.0,0.0,8593
62,1990,6,CO,2.0,0.0,36141
63,1990,6,DL,4.0,1.0,68205
64,1990,6,EA,-3.0,0.0,20696
65,1990,6,HP,1.0,0.0,17585
66,1990,6,NW,1.0,0.0,38756
67,1990,6,PA (1),-4.0,0.0,6699
68,1990,6,TW,3.0,0.0,21952
69,1990,6,UA,2.0,0.0,50511
70,1990,6,US,1.0,0.0,82327
71,1990,6,WN,0.0,0.0,27124
72,1990,7,AA,-1.0,0.0,60747
73,1990,7,AS,2.0,0.0,9375
74,1990,7,CO,3.0,0.0,36949
75,1990,7,DL,4.0,1.0,70942
76,1990,7,EA,-1.0,0.0,21360
77,1990,7,HP,0.0,0.0,18558
78,1990,7,NW,-1.0,-1.0,39751
79,1990,7,PA (1),-2.0,0.0,7060
80,1990,7,TW,2.0,0.0,22913
81,1990,7,UA,0.0,0.0,53445
82,1990,7,US,0.0,0.0,85797
83,1990,7,WN,0.0,0.0,28160
84,1990,8,AA,0.0,0.0,60849
85,1990,8,AS,5.0,0.0,9463
86,1990,8,CO,3.0,0.0,37408
87,1990,8,DL,5.0,2.0,71024
88,1990,8,EA,0.0,0.0,21511
89,1990,8,HP,2.0,0.0,19084
90,1990,8,NW,0.0,0.0,40514
91,1990,8,PA (1),-1.0,0.0,7086
92,1990,8,TW,3.0,0.0,22900
93,1990,8,UA,1.0,0.0,53759
94,1990,8,US,2.0,1.0,85948
95,1990,8,WN,0.0,0.0,28340
96,1990,9,AA,-1.0,0.0,58939
97,1990,9,AS,2.0,0.0,7926
98,1990,9,CO,-1.0,0.0,35108
99,1990,9,DL,3.0,0.0,68215
100,1990,9,EA,-3.0,0.0,20670
101,1990,9,HP,1.0,0.0,18196
102,1990,9,NW,-3.0,-1.0,37530
103,1990,9,PA (1),-5.0,0.0,6687
104,1990,9,TW,0.0,0.0,21709
105,1990,9,UA,-1.0,0.0,50937
106,1990,9,US,0.0,0.0,82356
107,1990,9,WN,0.0,0.0,27365
108,1990,10,AA,0.0,0.0,61194
109,1990,10,AS,2.0,0.0,8352
110,1990,10,CO,0.0,0.0,37491
111,1990,10,DL,3.0,1.0,71334
112,1990,10,EA,-1.0,0.0,22073
113,1990,10,HP,1.0,0.0,18897
114,1990,10,NW,-2.0,-1.0,39174
115,1990,10,PA (1),-5.0,0.0,6575
116,1990,10,TW,1.0,0.0,21944
117,1990,10,UA,0.0,0.0,53949
118,1990,10,US,1.0,0.0,85391
119,1990,10,WN,2.0,0.0,28673
120,1990,11,AA,0.0,0.0,57791
121,1990,11,AS,4.0,0.0,7738
122,1990,11,CO,0.0,0.0,35370
123,1990,11,DL,2.0,1.0,67814
124,1990,11,EA,-3.0,0.0,21379
125,1990,11,HP,4.0,0.0,18209
126,1990,11,NW,-3.0,-1.0,36468
127,1990,11,PA (1),-4.0,0.0,6565
128,1990,11,TW,1.0,0.0,19046
129,1990,11,UA,-1.0,0.0,50049
130,1990,11,US,-1.0,0.0,81104
131,1990,11,WN,4.0,0.0,27248
132,1990,12,AA,4.0,1.0,59107
133,1990,12,AS,6.0,0.0,7834
134,1990,12,CO,3.0,0.0,35844
135,1990,12,DL,6.0,3.0,70673
136,1990,12,EA,0.0,0.0,21489
137,1990,12,HP,5.0,2.0,18992
138,1990,12,NW,1.0,0.0,36528
139,1990,12,PA (1),-2.0,0.0,6638
140,1990,12,TW,6.0,0.0,19217
141,1990,12,UA,3.0,1.0,50241
142,1990,12,US,1.0,1.0,82970
143,1990,12,WN,5.0,3.0,26819
144,1988,1,AA,1.0,1.0,56280
145,1988,1,AS,5.0,0.0,7577
146,1988,1,CO,4.0,0.0,39763
147,1988,1,DL,7.0,0.0,60841
148,1988,1,EA,5.0,0.0,37632
149,1988,1,HP,3.0,0.0,15583
150,1988,1,NW,8.0,0.0,33958
151,1988,1,PA (1),2.0,0.0,6080
152,1988,1,PI,7.0,4.0,39594
153,1988,1,PS,1.0,1.0,13169
154,1988,1,TW,6.0,1.0,23761
155,1988,1,UA,3.0,0.0,50715
156,1988,1,US,4.0,1.0,31663
157,1988,1,WN,0.0,0.0,20334
158,1988,2,AA,0.0,1.0,52750
159,1988,2,AS,5.0,0.0,6898
160,1988,2,CO,5.0,0.0,37554
161,1988,2,DL,6.0,0.0,59226
162,1988,2,EA,3.0,0.0,34791
163,1988,2,HP,2.0,0.0,15019
164,1988,2,NW,8.0,0.0,33059
165,1988,2,PA (1),1.0,0.0,5785
166,1988,2,PI,5.0,1.0,37490
167,1988,2,PS,-2.0,1.0,12220
168,1988,2,TW,5.0,0.0,21125
169,1988,2,UA,2.0,0.0,47009
170,1988,2,US,4.0,1.0,29794
171,1988,2,WN,0.0,0.0,19859
172,1988,3,AA,0.0,1.0,56976
173,1988,3,AS,5.0,0.0,7593
174,1988,3,CO,2.0,0.0,40827
175,1988,3,DL,5.0,0.0,64008
176,1988,3,EA,3.0,0.0,37328
177,1988,3,HP,2.0,0.0,15065
178,1988,3,NW,5.0,0.0,36155
179,1988,3,PA (1),3.0,0.0,6080
180,1988,3,PI,4.0,1.0,39962
181,1988,3,PS,-3.0,0.0,13054
182,1988,3,TW,4.0,0.0,23709
183,1988,3,UA,1.0,0.0,50677
184,1988,3,US,4.0,1.0,32247
185,1988,3,WN,0.0,0.0,21399
186,1988,4,AA,-1.0,0.0,56115
187,1988,4,AS,4.0,0.0,7145
188,1988,4,CO,-1.0,0.0,38081
189,1988,4,DL,1.0,0.0,62080
190,1988,4,EA,2.0,0.0,34645
191,1988,4,HP,0.0,0.0,14533
192,1988,4,NW,2.0,0.0,34418
193,1988,4,PA (1),3.0,0.0,5986
194,1988,4,PI,4.0,1.0,38433
195,1988,4,PS,-4.0,0.0,3468
196,1988,4,TW,2.0,0.0,22684
197,1988,4,UA,-1.0,0.0,48743
198,1988,4,US,4.0,2.0,40114
199,1988,4,WN,-1.0,0.0,20880
200,1988,5,AA,-2.0,0.0,57536
201,1988,5,AS,4.0,0.0,7626
202,1988,5,CO,-2.0,0.0,39320
203,1988,5,DL,0.0,0.0,63260
204,1988,5,EA,2.0,0.0,34184
205,1988,5,HP,1.0,0.0,15116
206,1988,5,NW,0.0,0.0,35237
207,1988,5,PA (1),5.0,0.0,5989
208,1988,5,PI,4.0,2.0,38385
209,1988,5,TW,2.0,0.0,22910
210,1988,5,UA,0.0,0.0,48916
211,1988,5,US,5.0,3.0,45602
212,1988,5,WN,-2.0,0.0,21835
213,1988,6,AA,-2.0,0.0,56220
214,1988,6,AS,3.0,0.0,7952
215,1988,6,CO,-4.0,0.0,39019
216,1988,6,DL,0.0,0.0,62822
217,1988,6,EA,1.0,0.0,32282
218,1988,6,HP,0.0,0.0,14696
219,1988,6,NW,0.0,0.0,35925
220,1988,6,PA (1),5.0,0.0,5864
221,1988,6,PI,3.0,1.0,38996
222,1988,6,TW,3.0,0.0,22772
223,1988,6,UA,1.0,0.0,47521
224,1988,6,US,5.0,2.0,44652
225,1988,6,WN,-1.0,0.0,22578
226,1988,7,AA,-1.0,0.0,58675
227,1988,7,AS,2.0,0.0,8316
228,1988,7,CO,-3.0,0.0,39103
229,1988,7,DL,0.0,0.0,64141
230,1988,7,EA,2.0,0.0,32171
231,1988,7,HP,0.0,0.0,14897
232,1988,7,NW,2.0,0.0,36857
233,1988,7,PA (1),5.0,0.0,5982
234,1988,7,PI,4.0,3.0,39749
235,1988,7,TW,3.0,0.0,23514
236,1988,7,UA,0.0,0.0,48626
237,1988,7,US,4.0,2.0,46047
238,1988,7,WN,-1.0,0.0,23040
239,1988,8,AA,-1.0,0.0,59295
240,1988,8,AS,3.0,0.0,8395
241,1988,8,CO,-3.0,0.0,39373
242,1988,8,DL,0.0,0.0,65039
243,1988,8,EA,1.0,0.0,32030
244,1988,8,HP,2.0,0.0,14975
245,1988,8,NW,3.0,0.0,38294
246,1988,8,PA (1),4.0,0.0,6060
247,1988,8,PI,3.0,2.0,40271
248,1988,8,TW,4.0,0.0,23629
249,1988,8,UA,0.0,0.0,49070
250,1988,8,US,4.0,2.0,46310
251,1988,8,WN,-1.0,0.0,24028
252,1988,9,AA,-1.0,0.0,57553
253,1988,9,AS,1.0,0.0,7185
254,1988,9,CO,-3.0,0.0,36947
255,1988,9,DL,1.0,0.0,62066
256,1988,9,EA,-3.0,0.0,27619
257,1988,9,HP,0.0,0.0,14593
258,1988,9,NW,4.0,0.0,36153
259,1988,9,PA (1),1.0,0.0,5854
260,1988,9,PI,3.0,1.0,38628
261,1988,9,TW,2.0,0.0,22639
262,1988,9,UA,-1.0,-1.0,47863
263,1988,9,US,1.0,0.0,44630
264,1988,9,WN,-1.0,0.0,22345
265,1988,10,AA,1.0,0.0,61568
266,1988,10,AS,3.0,0.0,7164
267,1988,10,CO,0.0,0.0,36482
268,1988,10,DL,1.0,0.0,64770
269,1988,10,EA,-3.0,0.0,29089
270,1988,10,HP,2.0,0.0,15454
271,1988,10,NW,3.0,0.0,38040
272,1988,10,PA (1),2.0,0.0,6088
273,1988,10,PI,3.0,1.0,40054
274,1988,10,TW,2.0,0.0,23762
275,1988,10,UA,1.0,0.0,50547
276,1988,10,US,3.0,0.0,45666
277,1988,10,WN,0.0,0.0,22986
278,1988,11,AA,1.0,1.0,59230
279,1988,11,AS,5.0,0.0,6838
280,1988,11,CO,1.0,0.0,34464
281,1988,11,DL,4.0,0.0,61347
282,1988,11,EA,-2.0,0.0,28120
283,1988,11,HP,4.0,0.0,15247
